,M
2148,1475
2149,1243
2150,1123
2151,1095
2152,1171
2153,1328
2154,1558
2155,1858
2156,2190
2157,2566
2158,2938
2159,3309
2160,3645
2161,3938
2162,4150
2163,4291
2164,4308
2165,4225
2166,3991
2167,3628
2168,3101
2169,2428
2170,1591
2171,602
2172,-539
2173,-1821
2174,-3232
2175,-4757
2176,-6375
2177,-8072
2178,-9811
2179,-11585
2180,-13349
2181,-15088
2182,-16764
2183,-18353
2184,-19825
2185,-21155
2186,-22312
2187,-23276
2188,-24024
2189,-24539
2190,-24797
2191,-24803
2192,-24527
2193,-23988
2194,-23165
2195,-22075
2196,-20726
2197,-19123
2198,-17288
2199,-15244
2200,-13004
2201,-10608
2202,-8075
2203,-5440
2204,-2738
2205,-1
2206,2740
2207,5438
2208,8077
2209,10606
2210,13006
2211,15242
2212,17289
2213,19124
2214,20723
2215,22079
2216,23161
2217,23991
2218,24526
2219,24803
2220,24798
2221,24538
2222,24024
2223,23276
2224,22313
2225,21153
2226,19828
2227,18350
2228,16766
2229,15085
2230,13351
2231,11584
2232,9813
2233,8070
2234,6376
2235,4756
2236,3232
2237,1822
2238,539
2239,-602
2240,-1590
2241,-2430
2242,-3100
2243,-3627
2244,-3994
2245,-4220
2246,-4314
2247,-4286
2248,-4153
2249,-3937
2250,-3645
2251,-3309
2252,-2940
2253,-2561
2254,-2195
2255,-1855
2256,-1559
2257,-1330
2258,-1166
2259,-1100
2260,-1119
2261,-1246
2262,-1475
2263,-1804
2264,-2244
2265,-2770
2266,-3389
2267,-4085
2268,-4840
2269,-5646
2270,-6487
2271,-7329
2272,-8178
2273,-8987
2274,-9763
2275,-10461
2276,-11083
2277,-11600
2278,-12000
2279,-12272
2280,-12398
2281,-12374
2282,-12196
2283,-11857
2284,-11358
2285,-10709
2286,-9906
2287,-8969
2288,-7904
2289,-6731
2290,-5464
2291,-4131
2292,-2739
2293,-1330
2294,86
2295,1479
2296,2823
2297,4098
2298,5278
2299,6339
2300,7271
2301,8040
2302,8652
2303,9075
2304,9315
2305,9361
2306,9209
2307,8871
2308,8340
2309,7637
2310,6767
2311,5753
2312,4608
2313,3355
2314,2029
2315,635
2316,-775
2317,-2195
2318,-3580
2319,-4909
2320,-6150
2321,-7286
2322,-8274
2323,-9113
2324,-9764
2325,-10220
2326,-10466
